// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Command::Network::HamletSupplyRankingReceiver            | 0x01057324 |   2 | 0x012D8308 | .?AVHamletSupplyRankingReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::HateStatusReceiver                     | 0x0105733C |   2 | 0x012D83B8 | .?AVHateStatusReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::JobChangeReceiver                      | 0x01057300 |   2 | 0x012D8200 | .?AVJobChangeReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::JobQuestCompleteTripleReceiver         | 0x01057360 |   6 | 0x012D8460 | .?AVJobQuestCompleteTripleReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::KickClientOrderEventReceiver           | 0x010574B0 |   5 | 0x012D8A78 | .?AVKickClientOrderEventReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SendLogReceiver                        | 0x010574E0 |   2 | 0x012D8B40 | .?AVSendLogReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetCommandEventConditionReceiver       | 0x0105737C |   2 | 0x012D84C0 | .?AVSetCommandEventConditionReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetDisplayNameReceiver                 | 0x01057388 |   2 | 0x012D8520 | .?AVSetDisplayNameReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetEmoteEventConditionReceiver         | 0x01057394 |   2 | 0x012D8578 | .?AVSetEmoteEventConditionReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetEventStatusReceiver                 | 0x010573A0 |   2 | 0x012D85D8 | .?AVSetEventStatusReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetNoticeEventConditionReceiver        | 0x010573AC |   2 | 0x012D8630 | .?AVSetNoticeEventConditionReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetPushEventConditionWithCircleReceiver | 0x010573B8 |   2 | 0x012D8690 | .?AVSetPushEventConditionWithCircleReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetPushEventConditionWithFanReceiver   | 0x010573C4 |   2 | 0x012D86F8 | .?AVSetPushEventConditionWithFanReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetPushEventConditionWithTriggerBoxReceiver | 0x010573D0 |   2 | 0x012D8760 | .?AVSetPushEventConditionWithTriggerBoxReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetTalkEventConditionReceiver          | 0x010573DC |   2 | 0x012D87C8 | .?AVSetTalkEventConditionReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SetTargetTimeReceiver                  | 0x010573F4 |   2 | 0x012D8878 | .?AVSetTargetTimeReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::StartServerOrderEventFunctionChecker::UnpackerFunctor | 0x01057438 |  13 | 0x012D8910 | .?AVUnpackerFunctor@StartServerOrderEventFunctionChecker@Network@Command@Client@Script@Lua@Application@@
